index,premise,hypothesis,original_index
2478,A young man flashes the peace sign to an older man with a bald spot in the backseat of a van.,"Baa, baa, plaid sheep, have you any Woolite?",7510
2479,Three people are traveling together toward the city.,The city was closed so the people stayed home and slept all day.,7518
2480,A man sitting on a green bench talking on the telephone.,A man is talking to the person sitting next to him.,7520
2481,"Two young women running, one wearing a green shirt and the other wearing a gray shirt with a race tag ""5028"" with an ambulance and a Coca-Cola machine in the background.",The women are washing windows.,7522
2482,a person dancing is doing a dance move where there whole body is off the ground except for one hand,Nobody is dancing,7527
2483,A shirtless man in a hat and tie is hammering metal on an anvil.,A man wearing nothing at all hammering metal on an anvil.,7529
2484,A young boy with an interesting attire.,The young boy is naked.,7533
2485,"There are 5 men in a small motor boat, behind them is a tropical jungle.",A group of people are jumping off the boat.,7537
2486,A family walks through thick snow.,Family outside sunbathing,7540
2487,The person towards the right is wearing riot uniform while people seem to be filing out.,The person is wearing a riot uniform while people were scattered around.,7542
2488,Five children sitting on a set of steps that are located outside.,Several kids are standing outside near the stairway.,7547
2489,A man wearing a black sweater cooks food in a pan while standing in a cluttered kitchen.,A man wearing a black sweater is cooking food in a pan in a spotless kitchen,7549
2490,Jets perform an aerial show complete with skywriting.,Jets crash during an aerial show,7551
2491,A man in shorts is standing on a rock looking out at the view from the hilltop.,The man is looking out at the view.,7560
2492,A man in a blue-checkered apron is using cleaning products to sanitize a surface.,The man is sleeping,7563
2493,Cleanup workers on cleaning on the road.,Workers are throwing confetti.,7571
2494,A child jumping out of a swing toward a target placed on the ground.,A child swinging very high.,7572
2495,A redheaded woman walks through a crowded park.,A woman is dancing to Elvis while singing to a rapt audience.,7579
2496,A woman is reading a newspaper article.,A woman is reading TIME magazine.,7580
2497,A man wearing a black hat is walking through a busy city street.,the man is visiing the country and milking cows,7582
2498,A man standing in front of an American flag talks in to a microphone as others watch.,A cat is sleeping on a blanket.,7583
2499,A singer in a white button-down shirt is performing while a girl plays the guitar in the back.,Ten people riding ATVs.,7587
2500,A guy wearing a hat and sunglasses on a boat in the middle of the ocean is holding up a fish.,No water or other liquids are visible here.,7588
2501,A woman stands on the curb next to a busy street.,the woman is asleep at home,7592
2502,A woman in a red and white bathing suit is taking a picture for three friends that are traveling in front of the shops near a beach.,A woman has a black and white bathing suit.,7593
2503,"A group of children stand underneath some banners, stretching their arms over their heads.",A group of kids taking a nap.,7599
2504,Two adults and a little boy sit on a homey exterior porch in front of an exotic flora and fauna nature scene.,A kid and some adults are getting ready to board the plane.,7600
2505,A boy is hanging upside down from a tire swing.,The boy is flying around his house.,7601
2506,Three kids hanging on a bared window.,Three kids are sitting on the window sill.,7602
2507,Several people are waiting for something to arrive.,A woman by herself,7605
2508,People are walking the marathon for a cause.,The people are having a picnic.,7613
2509,"A young brunette woman in a red shirt and blue jeans is sitting next to a man wearing shorts and a t-shirt with an astronaut and a cap, in front of a house.",A woman and a man jump rope in the front yard.,7615
2510,SouthEast Asian couple riding on a tractor through a beach landscape.,A well dressed couple rides an elephant.,7618
2511,A woman runs up to a juggling man on a tightrope.,A woman is sitting on a couch.,7620
2512,A crowd of Asian people enjoy a sunny day as they sit on park benches beneath flowering plum trees.,ten africans play with a zebra,7621
2513,Two girls are looking past each other in different directions while standing in a crowd.,Two women sit in a chair at a cafe.,7622
2514,A child at the height of a swing.,A child is in his bedroom sleeping,7624
2515,A group of children are playing with bubbles outdoors.,The children are playing ball inside.,7628
2516,A woman in a green shirt is opening a box.,the woman is asleep,7633
2517,Male athlete practicing yoga meditation technique.,The athlete talks on the telephone.,7639
2518,This is a girl in a white t-shirt eating noodles with chopsticks.,This is a girl eating pork ribs.,7641
2519,Older man with glasses talking on the phone.,The man is young.,7643
2520,An old man stands beside a sea.,An old woman stares out at sea.,7647
2521,Two brown dogs playfully chase a red and white soccer ball.,Two dogs are playing tug of war with a rope.,7649
2522,Policemen ride motorcycles through a crowd.,Policewomen ride bikes along the beach.,7652
2523,A baby sleeping on its back.,A man goes to sleep.,7654
2524,A blueish green car on a dirt road splashing water on the left.,The truck is on a paved road.,7655
2525,A cowboy at a rodeo flips over a calf during a calf roping event.,The boy in the school playing cricket.,7657
2526,Three men are gathered around while one is operating a camera.,Three men are gathered around a ping pong table and one is fixing the net.,7660
2527,The back of a woman wearing a flowered short-sleeved shirt.,The woman is swimming with sharks.,7662
2528,A large group of people sit on concrete benches while two people walk along in front of it in blue jeans.,The group of people are at the beach.,7666
2529,The receiver is tackled after making the catch.,Two men are knitting sweaters.,7667
2530,a proud wife to be gets her makeup done on her wedding day.,The woman is going to a funeral.,7668
2531,"Two men dressed in festive orange clothing, another man approaching in a Uncle Sam hat and a lady with a name tag on her gold sweater.",dog eats out of bowl,7669
2532,Several people are standing in a fenced in area.,A few people are sitting down in a fenced area.,7678
2533,Several boys in short and tank tops or t-shirts are running.,A group of old ladies are running in shorts and tank tops.,7696
2534,A man on a blue motorcycle.,A woman is wearing a red blouse and riding a bike.,7700
2535,A older lady is working with a mix master while two young boys stand next to her with aprons on helping her.,A lady and two boy eating waffles at their kitchen table.,7703
2536,A man sits on a sidewalk.,The man is standing in the forest.,7704
2537,A young boy throwing a ball.,The young boy is relaxing on the couch with his hands behind his head.,7708
2538,Workers on a platform work together to carry an item with skyscrapers in the background.,Workers on a platform work to clean windows by the ocean.,7713
2539,A boy with a cap carrying a skateboard is walking along the lip of a feature at a skate park.,The boy is going to the mall.,7714
2540,A man with mismatched shoes sits in front of an entrance.,The man has no shoes.,7716
2541,Many people are crowded around a game table with toy bears hanging over it.,The table with the toy bears on it has collapsed.,7717
2542,A woman in a withe shirt and brown skirt is playing with a large mouse trap type toy involving a black wired track that guides colored balls around a circuit.,A man opens the door to enter the church.,7719
2543,Young African man does work in a field.,A young african man got his high school diploma.,7720
2544,"A child in a blue shirt, with a hat, trying to climb a fence.",The child is climbing a ladder.,7722
2545,Two people sitting on a bench with their dog next to a body of water.,They are jumping up and down.,7725
2546,Number 21 slides into second base as number 4 runs to first base.,Number 21 is sliding into first base.,7728
2547,A woman in jeans rests on a bench in a gallery or shop setting.,A woman is sitting in a booth.,7731
2548,People are standing on a freeway where a motorcycle accident has just occurred.,People are made from road dust.,7734
2549,A young girl smiles as she walks in a parade boding orange and white.,The girl is frowning.,7735
2550,The brown dog is standing on the beach as the waves lap up around its feet.,The dog is digging a hole in the sand on the beach.,7738
2551,A girl in a pink dress is jubilant while a woman blows bubbles nearby.,A girl is inside on a couch.,7743
2552,A man in a black top is jumping on a sunny day.,A man is jumping on a rainy day.,7751
2553,A street vendor tends to his stand with lots of kids toys and items.,the vendor is at church praying,7758
2554,"A woman with a brown coat and a woman with a black top stand along displays of oranges, apples, and other fruits.",The women are swimming in the oceans of Tahiti.,7763
2555,An older man in front of a vase display in the middle of a room with a large crowd in the background.,Some boys at a rock concert.,7766
2556,He is at work overlooking the busy streets below.,The man comtemplates jumping.,7767
2557,"Two children are standing on a beach making faces, their forearms covered in mud reaching towards the viewer.","Two children are standing on a beach, making faces, their forearms covered in oil.",7773
2558,Man in blue apron lifting lid to barrel style grill while another man watches,A man fishing by the pond,7775
2559,A man walking his dog while using his cellphone at dusk.,A man is walking his friends dog while on the phone.,7776
2560,A brown fluffy dog lays in the snow with its green ball.,A dog is in the basement chewing on rawhide.,7779
2561,The white dog jumps for an object thrown by his master.,The dog is a female puppy.,7781
2562,A man in a wheelchair plays his guitar on a sidewalk.,A man is dancing on stage.,7783
2563,"A man removes his shoes, sits on the bench, and watches the large fountain.",The man is running from a thief,7784
2564,A man lies on a mat in a parking lot between a brown SUV and a yellow pickup with an open door.,A man is doing yoga on a mat between an SUV and a pickup.,7790
2565,A man dressed in ceremonial clothing is dancing outside with people following him waving their hands.,The man is singing in an Iron Man costume.,7792
2566,People in native dress performing a dance.,People in native dress performing a sacrifice.,7795
2567,Two basketball players oppose each other at the net.,Two basketball players are playing on the moon.,7797
2568,A soldier ducking holding a weapon wearing green clothing.,Nobody is ducking.,7798
2569,Two children enjoy tubing on the lake.,Two children are sleeping in their beds.,7808
2570,A young woman with a ponytail climbs a white stone structure.,The woman stands on the field.,7811
2571,A woman is pointing at a computer device for a young girl,A woman and girl are having lunch tohether.,7814
2572,a small boy looks out over a body of water.,The boy is climbing a mountain.,7818
2573,A black woman with a red turban is wrapped in a towel and wears a pink shirt near a bucket.,The woman is not black.,7821
2574,A man in a blue shirt and sweater sitting outside against a blue building sewing silver fabric.,A man starts fabric company.,7823
2575,The dog is looking at the water.,The dog is looking at a ball.,7824
2576,Someone is selling food on a set of doorsteps.,A group of girl scouts sold cookies on the street.,7826
2577,"A man and a woman, both wearing hiking gear, are standing on the edge of a large canyon.",A man and a woman are on a boat celebrating the Fourth of July.,7830
2578,Person works on metal-working project involving wheels and chains.,The person is working with wood.,7831
2579,"A young blond girl in a pink ski suit and hat is crying, and being comforted by her mother who is holding her.",Two guys are playing baseball.,7833
2580,Person sitting in a chair selling goods outside of a building.,A man is watching T.V. at home.,7834
2581,An asian man examines an arrangement of food.,A man reads a book,7842
2582,A medical professional operating a microscope and viewed on a computer.,A professional talks with his patient.,7845
2583,A girl sitting down drinking water surrounded by girls helping her feeling better.,A girl is drinking water while riding a bike.,7846
2584,A guy wearing protective gear is welding a steel beam.,The guy is woodworking.,7847
2585,A group of people standing on the corner.,The people are sitting on a bench.,7848
2586,A military man with an orange safety vest is behind the wheel of a military vehicle.,He is dressed only in camo.,7849
2587,A man offers his phone across the table.,a man sleeping on a couch,7852
2588,A boy is doing a kick flip off a ramp on his skateboard in a skate park.,The boy is surfing,7854
2589,Group of people riding in a bus.,A lone person riding in a bus.,7856
2590,A man taking a break from fishing.,The man has been home sick with the flu all day.,7858
2591,"A woman with a short, white skirt, black boots and a red bag walks away.",Nobody is walking.,7859
2592,Man in costume poses while holding a knife.,the man is is holding a goat,7860
2593,"A Woman with a white Blouse, and blue Jeans, sitting on a Bench.",A young mother tries to control two small children in the candy isle of a store.,7862
2594,A girl dances on a stage.,The girl is playing a board game.,7867
2595,A brown and black dog laying on a gray plushie in front of a TV showing breaking news.,The dogs are playing chess.,7868
2596,"A young man wearing a blue hoodie and black beanie is standing next to a shopping cart in front of an aisle of Women's Lifestyle magazines, looking at a tabloid with the headline ""I'm pregnant!""",The young man is sitting in the hospital waiting room while his sister delivers her baby.,7869
2597,A woman stands on a concrete block taking a picture of a group of people on a sidewalk beside the road.,There are people running a race.,7870
2598,A woman on a sidewalk with luggage.,A woman has luggage above her head.,7872
2599,A man and a young girl pose next to a red car that is parked in a driveway.,A man and young girl are about to hop on a motorcycle and ride.,7873
2600,Four children are in an industrial kitchen looking at a recipe with the ingredients on the table in front of them.,There is no one in the kitchen,7883
2601,A young boy in a blue shirt gingerly waters a plant.,A boy gingerly tiptoes past his sleeping mother.,7890
2602,One girl watches another girl batting during a softball game.,The girls are in a bowling alley.,7891
2603,A man in jeans and checkered shirt sits at a restaurant table.,The man is naked.,7893
2604,A woman talks to a young girl over a counter.,A man is falling down stairs.,7895
2605,A man shoots a rifle while a dog looks on.,A man plays a game of monopoly with his family.,7897
2606,A busy street during the daytime in an asian city.,The streets are empty.,7899
2607,Men wearing red safety vests and carrying signs walk down a street where an explosion has occurred.,"Men in business suits, walking together into a meeting.",7901
2608,"Open, scatteredly placed umbrellas, fill an exit to a room with black trim doors while a blurry individual looks directly into the camera.",A woman is sitting down.,7907
2609,Two dogs playing in the snow.,The dogs are sleeping.,7909
2610,Four children are following a recipe for food.,Four men are following a recipe for food.,7912
2611,Two brown dogs run through a field.,The dogs are swimming.,7913
2612,People walking down path below palm trees.,A group of people are taking a bus to the city.,7914
2613,A man in a black shirt and jeans is in midair above a messy bed.,A man is in his pajamas.,7915
2614,A man is sawing a piece of wood.,A man is eating dinner.,7916
2615,Children playing and fishing on a beach.,Children playing in their backyard treehouse.,7917
2616,A group of people is standing around and a guy is making a weird face with bulging eyes.,The guy is making a weird face with crossed eyes.,7927
2617,A thin man rolls a metal ball on his arm while several people watch.,The fat man is rolling a ball on his arm.,7928
2618,"Four men, in uniforms are in the process of moving an old style canon along a dirt path.",A man dressed in army fatigues stands near a tank at a base.,7929
2619,A couple is sitting in a blue raft watching a lot of people in bathing suits on a boat.,a couple having dinner,7930
2620,Lots of people in a restaurant eating and talking.,The people are leaving the restaurant,7934
2621,A man in a gray shirt sitting in a field of flowers.,A man eats a pasta dish while watching tv.,7935
2622,Men at a rodeo try to tame a bull.,The men are riding a bull.,7940
2623,People wearing bathing suits on a wet surface.,Some people in formal wear are somewhere dry.,7946
2624,Two young men are at a party.,Two young men arguing.,7948
2625,A girl is upside-down on someone's shoulders.,A girl is sleeping on the floor next to someone.,7953
2626,A group of men are walking between railroad tracks.,A group of men are wading in a river.,7954
2627,A man with work clothes on standing on the back of a truck.,The man is sitting on the back of a pickup truck eating his lunch.,7956
2628,A bearded man in a red shirt playing guitar on a stage.,a man leaves the party to go to the store,7957
2629,A man with a shocked expression on his face is holding a beaded necklace that is around a woman's neck.,The man is ready to go undercover as a cross-dresser,7961
2630,A small girl wearing a pink outfit brushes a horse.,The girl was wearing a blue outfit.,7962
2631,A woman waiting at a train stop next to a pay phone.,A woman is waiting at a bus stop.,7968
2632,Three people sit around a grill on fold-up metal chairs.,People sitting at the doctor's office waiting their turn.,7972
2633,A bride tossing her bouquet to a group of women.,women at a funeral,7974
2634,A blond woman wearing jeans is reading on a bench.,A brunette wearing a dress talking on her phone.,7976
2635,A woman is walking by a group of three men.,A woman is walking by a group of three women.,7994
2636,"A young boy pretends to drive the car, with his hand on the horn.",A little girl is pretending to drive.,7996
2637,A black man with cargo shorts and a striped orange shirt listening to music and dancing.,A man is lying down on the dance floor.,7998
2638,A woman wearing gold earrings talks to a gray-haired man.,Three children are talking to a woman,8000
2639,Native girl in a blue top looking skyward.,Native girl in a red dress is looking through her telescope at the sea.,8002
2640,"A man with a black baseball cap, blue shorts, gloves and no shirt is standing atop a roof.","There is a man laying on his roof, suntanning.",8003
2641,A young male wearing a red shirt and black pants is performing a dance technique in a terminal station for travelers.,A person is watching a game of baseball.,8006
2642,A woman taking a photo standing next to a tall man and in front of another man who is also taking a photo.,A man is about to jump into a pool.,8011
2643,"Two shaggy men playing a long instrument with their mouth, while their white husky dog sits close by on a couch.",a dog eats steak while his master plays the flute,8023
2644,"Two people are walking beside a road, holding large pots on their heads.","Two dogs are walking beside a road, holding large pots on their heads.",8024
2645,Construction equipment in front of a building with a mural of a man being lifted by black birds.,There is a garden in front of the white stucco house.,8025
2646,A boy with a blue wrestler mask is posign next to several other people.,that guy is laying and resting,8027
2647,A blond tennis player shows off her new red and white tennis outfit.,The tennis player prepares to play with her black outfit.,8028
2648,A long-haired man belts out a tune on a trumpet while accompanying his band.,The man is rapping.,8029
2649,Two fashionably dressed young ladies sit back to back on a wall in a city park watching people around them.,The young ladies are blind.,8030
2650,Little girls play in the water.,The girls are playing in the grass.,8031
2651,A stunt bicyclist performs an aerial trick before a city skyline.,A bicyclist rides his bike calmly through the park.,8032
2652,two older men are discussing something on a street corner with graffiti in the background.,Nobody is discussing.,8034
2653,"Three guys wearing pajamas, two are sweeping the floor while the other watches in a classroom.",They are ready to go to the prom.,8036
2654,"A woman fillets a fish, as part of preparing a recipe that includes broccoli, celery, and eggs.",dog looks at steak,8039
2655,A young girl in a bikini splashes in a large body of water.,Kids are having a tea party.,8042
2656,A woman in a white tank top serving food.,A woman in a coffee shop.,8043
2657,A man in brightly colored clothing playing what appears to be a bongo in a city with onlookers.,A man plays the guitar in a forest.,8049
2658,On a partly cloudy day a clown in red plaid overalls relaxes in the back of his tent.,A clown in the middle of a circus act.,8051
2659,A man and a boy riding their bikes together.,Two women are riding bikes,8053
2660,A violinist playing behind a cage shadow.,A man in in a cage holding a pumpkin.,8054
2661,A man is taking a picture while people sit in bleachers in the background.,"A man watches people on bleachers, wishing he had a camera.",8055
2662,a couple of several people sitting on a ledge overlooking the beach,Several people are sleeping indoors.,8059
2663,A man wearing a denim jacket taking a photograph.,There is no one taking a photo.,8060
2664,military personnel dressed in fatigues and ear protection laying on their stomachs shooting guns.,The personnel aren't wearing anything,8063
2665,"Group of young people walking, sitting and standing on the sidewalk.",They are hiding from the rain.,8064
2666,A woman on a balcony aims her camera to take a picture.,Nobody has a camera,8066
2667,A topless person with a backpack is shown against on a pile of rocks with a cloudy background.,A person has a backpack and a shirt.,8067
2668,A teacher at the front of a small blackboard opening a book for a class of young children.,A man is hit head-on by a train.,8068
2669,A woman is being photographed as she stands next to an artistic monument.,The man is being video taped at the statue.,8069
2670,A line of off road vehicles riding along a trail.,Convertibles are driving swiftly down the highway.,8071
2671,One man playing guitar with a woman kneeling in the foreground both in a spotlight.,One woman playing guitar with a woman kneeling in the foreground both in a spotlight.,8072
2672,A young boy and a toddler walking through uncut grass.,Two children are at the ice cream shop,8073
2673,A guy snowboarding down a large mountain.,The guy is sitting,8074
2674,Construction workers work on a road into the night.,Construction workers are taking a lunch break.,8075
2675,A man wearing a red hat while holding a ladder with a man in a brown hat looking at him.,the man was tall and did not have to use a ladder to paint,8078
2676,A dog jumps for a red ball on the grass.,A dog is rolling around in mud.,8079
2677,A person with long gray hair has a beret with beige and white wearing a blue raincoat is painting a marketplace scenery surrounded by other artists and paintings.,Artists painting a still life indoors.,8090
2678,A baby boy in overalls is crying.,A baby is dancing on a table.,8091
2679,People walking around looking at furniture.,A group of people sing hymns.,8092
2680,Three people with white gloves on picking up trash on a beach.,Three people with white gloves dump garbage on the beach.,8094
2681,Women dancing on a stage while wearing a blue dress.,Women singing on stage while wearing a pink dress.,8097
2682,The ground where the bike is parked is muddy with pebbles embedded into the road.,The bike is being ridden right now.,8101
2683,A group of people are cleaning up the outside of a house.,Humans are eating at a restaraunt.,8102
2684,Two men sitting in a bus the one guy is wearing eyeglass and the other guy is wearing a sungalsses,"Two men are sitting side by side, and appear to have nothing on their face.",8103
2685,A little boy is sitting on a swing.,A boy fell off a swing set.,8105
2686,A little girl in a purple t-shirt feeds an animal.,The girl is being eaten.,8107
2687,A Boston Terrier is running on lush green grass in front of a white fence.,The dog is standing on pavement.,8111
2688,Students in matching uniforms in a city stand in groups.,Students are playing kickball.,8112
2689,A teenager in a red shirt is skating on a skateboard at a skate park.,A man is in the bathtub.,8114
2690,An older man with a beard uses a hay broom to sweep the ground in front of cubed cardboard trash in a parking lot.,the man is at home sleeping,8118
2691,A brown-haired boy is wearing a red t-shirt and headphones as he watches TV.,a blonde girl in a red shirt watches tv with headphones on,8119
2692,A girl stands with a brown dog outside.,The girl is preparing to fight the wild dog with her bare hands.,8122
2693,One man is playing the drums while another is singing Karaoke.,One guy playing a guitar while another stands by silently.,8127
2694,Two mountaineers are looking ahead on a snowy trail.,Two musicians are playing a guitar.,8135
2695,a man with long hair plays an organ.,A man is playing the drums.,8138
2696,A man in a black shirt eating his meal on a round table.,The man ate his meal at a square table.,8141
2697,"A woman in a black dress is leaning against a wall, smoking a cigarette.",The woman is wearing red,8142
2698,"A group of young, naked children showering near large metal containers and a yellow bucket.",A group of old people are showering.,8145
2699,Two men one bald one black headed are holding up a team player in a two piece running suit.,Three woman are swimming in a lake.,8146
2700,A man on a ladder repairs the roof of a building.,A woman on a ladder repairs the floor.,8147
2701,"A man is sitting in the middle of a room in an art gallery, and is putting some frames together, preparing a piece of art for hanging.",Woman in art gallery,8149
2702,Two confused ladies standing around after an event.,The two ladies are laying in the grass.,8150
2703,two men in florescent vests are standing next to parked cars in front of a small building while one of them converses with a driver and a woman on a bike is seen riding by,The men are jump roping in the middle of the street.,8152
2704,Boy stands near laundry hanging out to dry.,The laundry is in a dryer.,8154
2705,A director is attempting to adjust a camera for a shot with a prairie grass landscape in the background.,The director is falling into a volcano.,8155
2706,A woman in a brown coat looks at her music stand while a man plays guitar beside her.,The man and woman are walking on the boardwalk hugging each other.,8157
2707,The gray-haired man is wearing a sweater.,The gray-haired man is naked.,8158
2708,A middle-aged woman ironing in a messy room.,A kid playing tennis.,8159
2709,A gray bird flies over the water by some rocks.,The bird is black.,8161
2710,girl tanning in the beach next to the blue water surrounded bye birds,A girl is shopping in the mall.,8166
2711,"3 men sit in a cubical of an office, one man is standing and holding a drum.",There is only one man present.,8169
2712,A brown and white large dog plays in the water.,A small black dog plays in a box.,8171
2713,Dirt covered British safari men with mustaches and round glasses.,The men are sunbathing on a beach.,8172
2714,A man in taking a photo of a building as someone rides by on a bike.,The man is drawing a picture,8174
2715,Two men wearing bright yellow vests sit in a vehicle.,People sit a truck wearing all black.,8175
2716,A child bangs on a set of drums.,The child is playing the guitar.,8180
2717,"Two women with black hair are walking on the street, carrying a purple umbrella over their head.",There is only one person present.,8181
2718,A young person wearing a helmet is jumping in the air during a gymnastics routine.,The people are sleeping.,8183
2719,A man standing in the mountains looking at ice.,The woman stood and stared at the mountains.,8190
2720,"Two players from opposing hockey teams face off for control of the hockey puck, while their teammates look on.",Two hockey players are playing baseball.,8192
2721,This man is in a bicycle race.,The man is racing on unicycles with a blown out tire.,8193
2722,"A kid, in a gray hoodie, having the back towards the camera, is holding up an american flag.",There is an adult in a red hoodie sitting.,8194
2723,Well-dressed youths looking bored in a parking lot.,The kids are playing an exciting game.,8195
2724,The blond woman in the black shirt seems to be administering an injection to a young adult wearing blue jeans.,A brunette woman gives an old man in slacks a shot.,8197
2725,The man is on a black and white bike.,The man is running to his house.,8199
2726,The bird walks in the water near rocks.,An alligator is on the land.,8201
2727,"Several men of Asian descent, along with US military members, are sitting in a lunch meeting, while talking informally and ordering their food.",Nobody is sitting,8203
2728,A woman in stockings and short shorts.,A woman in a skirt.,8206
2729,"Two females, one wearing a yellow dress, the other wearing a white top and black shorts posing for a picture.",two girls eat cake,8210
2730,Men play some type of sport on the field with what looks like hockey sticks.,The men are playing cards in a dark room.,8212
2731,Two bikers with people in the background waiting in line.,A biker is riding down the street.,8215
2732,"A scottish band, whose members are dressed in kilts, marching in front of onlookers, playing bagpipes.",A scottish band is passed out after heavy drinking.,8218
2733,An Asian man is standing in front of a desk with a computer on it and next to a projector screen with a slide about the Ford Fiesta on it.,The Asian man is shuffling through paperwork.,8221
2734,Three young children are fixed to their smartphones at the dinner table.,Kids eat dinner and don't even have phones.,8222
2735,A woman bending over by colored lanterns on a beach.,The woman is skiing.,8223
2736,A scientist in a lab points to a computer screen while one of his co-workers looks on.,Two men are swimming in a dark sea,8226
2737,A brown dog leaps in the air to catch a white volleyball.,dog runs in the grass,8227
2738,"A woman sitting, staring in the mirror at a salon with another woman next to her turned away from the camera.",A woman is staring at a hamburger,8236
2739,A white boy opening a candy cane full of chocolate sweets on Christmas.,a boy sits outside on independence day,8237
2740,A man numbers items with red paint.,A man is painting a building red.,8239
2741,Two men are sitting on a pile of fishing nets on a dock next to an elaborately designed fishing vessel.,The men do not have any nets.,8241
2742,A man lays on a tan couch.,A man sits on a tan couch.,8242
2743,A toddler in a pink shirt in a bucket swing.,A man in a pink shirt observes the swing set.,8243
2744,An elderly woman carrying a purse and a shopping bag exiting a small smart car.,A women is looking for somnething to carry.,8248
2745,A man dressed in old fashioned clothing holding a beer stein at a bar.,A man drinks a can of beer at home,8250
2746,a large black dog fighting with another large brown and black dog.,the cat is sleeping on the woman,8253
2747,A person in a robe and apron is cutting bread on a table.,A person cuts in line at the movie theater.,8255
2748,Two men are hard at work in what appears to be snow removal.,Men making sandcastles.,8261
2749,The guy and girl are sleeping on the bench.,The couple is having sex.,8264
2750,A pitcher in red uniform is shown after throwing the baseball.,A pitcher is learning to swim.,8266
2751,A woman in a small pink bikini chats on a cellphone while a man looks on outside a city shop.,A balloon with no people.,8268
2752,A man in a Hawaiian shirt is playing an orange electric guitar on a stage.,The man is playing a piano.,8270
2753,"A young boy wearing a white tunic, white pants, and a yellow belt is standing on his left leg with his right leg extended in a karate pose.",A boy getting dressed for school.,8273
2754,"Two young boys in soccer jerseys, playing soccer in a field.",Two young boys are playing lacrosse.,8274
2755,Kids are studying shadows.,The kids are sleeping.,8275
2756,A child is holding three birds in his hands.,i child is kicking a dog,8276
2757,A man with a white shirt is sitting at a table in a room with other people and posters along the blue wall.,No one is in the room.,8277
2758,A man in a gray shirt talks to a young woman in a white jacket in front of a church.,The man and woman are sitting on a pew in the church,8278
2759,Man in his boxers carving a pumpkin.,The man is naked.,8279
2760,A man driving what looks to be a makeshift rickshaw.,A person in a bathtub.,8284
2761,People watch as a man in an orange shirt holds someone with a baboon mask over his head.,Man running in a Marathorn,8285
2762,A girl wearing a black shirt is in mid-jump on a patio area on a sunny day.,A boy is outside.,8290
2763,A large tan dog sits on a grassy hill.,A large tan dog sits on a volcanic mountain.,8291
2764,Two men in shorts outside by a stone wall.,the men are not wearing clothes,8292
2765,People are seated among some pillars while another person walks by.,woman eats turkey,8293
2766,Five children sitting on a set of steps that are located outside.,The children are playing indoors.,8303
2767,A group of random people are walking around in a town that has been recently plowed.,The group of random people know eachother.,8304
2768,A man in a black and white uniform is playing ice hockey.,A man is playing soccer in a field.,8305
2769,"A young man in a grassy park caught midair, upside down in the middle of flip.",A boy is playing with his dog.,8307
2770,"Man with glasses and gray hair, sitting at desk on telephone, with piles of paper and a orange coffee cup.",A man is fishing in a boat on a lake.,8309
2771,Two boys in swimming shorts are playing in the sea at the beach.,Two boys fight in the ocean.,8310
2772,A red-haired lady reveals jarred food from underneath a blanket.,A lady is preparing a speech.,8311
2773,"A girl, perhaps around five, wearing white shorts, red and white top and carrying a red balloon, is standing outside of a wooden building, looking inside.",the girl is asleep,8315
2774,A small group of firefighters stand in all their firefighting attire and face masks while in front of a firetruck.,The firetruck is in the middle of the ocean.,8318
2775,A college football and cal is kicking a field goal.,They are eating dinner.,8321
2776,A man is skateboarding off a rail down brick stairs.,A man on a skateboard getting run over by a car.,8326
2777,"this Man is Fishing around a bunch of Boats, He has n't Caught one, yet.",the man has caught a great white shark,8330
2778,A man with short black hair and a gray shirt has shaving cream all over the bottom half of his face and is shaving off his beard.,A man washing his laundry .,8332
2779,A blurry image of a crowded street.,The street is lifeless.,8334
2780,A guy is grinding a rail over a tree on his snowboard.,The woman is riding a snowboard.,8335
2781,Two dogs run through the brush.,The dogs are being brushed by their owner.,8338
2782,A pole vaulter going over the top of the bar with a crowd watching on in the background.,The person hit the bar.,8340
2783,A man in a green jacket smoking a cigarette throwing a small ball.,A woman is sleeping in a car.,8341
2784,Three boys are playing soccer.,Three boys are sitting in the classroom frustrated by math problems.,8342
2785,The person towards the right is wearing riot uniform while people seem to be filing out.,a peaceful protest takes place as police sit idly,8346
2786,A man kissing a woman in a crowd.,A man kisses the woman while eating a sandwich.,8347
2787,"A man wearing a blue and white plaid shirt is sitting at an outdoor restaurant table, looking at a menu while a waiter waits to take his order.",The man is sweeping the floor.,8348
2788,"An elderly man in a white shirt looking at a webpage on his computer, in his office.",A woman in tights is playing games online.,8353
2789,White man sits at a desk drinking coffee and writing things down.,a man is drinking beer and watching football,8354
2790,A man and woman are at a catered dinner getting food.,A girl is eating McDonald's.,8355
2791,A man is carrying a red drum on his head through a crowd while talking on his cellphone.,A guy is carrying a ball around while talking in the park.,8356
2792,A man and a woman embracing and looking out at a green vista from the top of a grassy knoll.,The man is standing alone.,8357
2793,A brown dog runs across a snowy field.,A white dog is at the beach.,8364
2794,The trick bicyclist gets airborne off the ramp.,The trick skateboarder gets airborne off the ramp.,8368
2795,A man in a wetsuit is surfing on a green surfboard.,A man is fishing from a boat.,8369
2796,"A man in an orange shirt and a blond boy are riding with other people on a ""Pullman"" vehicle.",The boy has dark hair.,8370
2797,A welder dressed in blue taking a water break.,A man is welding a piece of metal,8371
2798,Yellow taxi cab moving across the bridge and huge buildings in the background.,The taxi cab is sitting in the garage with a flat tire.,8372
2799,An Asian woman holds up her hands and the girl next to her watches.,The woman is holding a baby.,8378
